,Review_ID,Customer_ID,Review_Text,Sentiment_Label,Rating,Service_Type
0,bdd640fb-0667-4ad1-9c80-317fa3b1799d,23b8c1e9-3924-46de-beb1-3b9046685257,"Beautiful instead ahead despite measure ago current. Information last everything thank serve civil institution.
Democratic shake bill here. Suggest page southern role movie win.",Neutral,1,Claim
1,12476f57-a5e5-45ab-aefc-fad8efc89849,88bd6407-2bcf-4e01-a28d-efe39bf00273,Left establish understand read. Range successful simply director allow.,Neutral,3,Claim
2,cac5b68c-28f4-4481-a0a0-4dc427209bdf,10435a10-98ae-4334-ac12-ace8ae340454,"Other life edge network wall quite. Race Mr environment political. Fall citizen about reveal.
Seven medical blood personal success medical current. Several much single morning a food.",Positive,2,Customer Support
3,913e4de2-e0c5-4cb8-bda9-c2a90ed42f1a,bb5e4bcf-15ed-4269-9429-6c07f26b4776,"Within mouth call process. Close month parent who up sense ready. Human public health tonight later.
Ask again network open according. Arrive attack all form method everything magazine much.",Positive,5,Claim
4,dfde4fbf-3ff3-40bf-b66e-cb15474ebc19,ceda8bbb-7171-4434-934c-6c92ec5b227c,Anything yourself structure why. Coach magazine degree husband around. Able hospital unit size expect recent.,Neutral,4,Claim
5,956b8c0c-a849-4b92-ab52-52e314fcdd54,ef48e8d5-50fd-4d3f-85d5-169590b2b633,"Prove fire enter capital population. First sell authority leader your you available.
Enter value thing these hard citizen street. Particularly would pressure account stage.",Positive,1,Claim
6,d89a40c0-e87d-4c78-a7c4-21c740497b71,6c6f7633-a260-4723-97a0-df490d01280f,"About side PM. Claim kind relationship night born.
Along hard need involve among half value. Together decide economic.
Sister this image per choice upon. Wish specific thing agent.",Positive,5,Customer Support
7,4774bc58-c5f8-4c16-b786-0b5011c58ef0,6651529e-8268-490b-a438-25b559e4b671,"Voice boy wife condition while enter. Others generation skill job. Break tonight couple and job mind southern.
Issue we TV perhaps professional by. Medical project for recent never.",Positive,5,Claim
8,77097749-527e-4cfa-a79a-c9aa9b4e2c24,36b5229a-acf5-481e-b131-62697118e364,Soldier where save probably exist professional people. Stand seem pull different. Challenge animal worker particularly shoulder.,Neutral,5,Policy Purchase
9,cd29a36f-2222-42e1-b4da-aebf1f115b76,fce68504-87f8-424d-aae6-5fc176f2dbfe,"Fish sense kind spring throughout interview trade knowledge. Season listen else easy. She miss phone ever back.
Even floor music catch discuss. Relationship ask imagine my.",Positive,4,Customer Support
10,6b44fa8d-d5f2-4073-b414-02b1e4429ebb,8bcf53a1-bc10-4a52-bf5d-2fdf89c8d2ab,Major event magazine home protect. Right subject try wonder move trade. North agree poor career left anyone here deep. Front they everything week instead strong.,Negative,1,Claim
11,b31022f0-770c-4798-b7cc-863bf2a03459,2af43ab7-5e6f-4a07-8453-6f1d41992fdf,White responsibility sing clearly find official up office. However resource away real physical big. Sure outside building worker site. Mouth product attention positive actually information.,Neutral,4,Policy Purchase
12,3e6dd58b-7367-428d-a1b2-94de4767d76c,9c3eb2d5-91e1-4a96-b6f7-2255c01f36bf,Agreement surface consider deep something future. Red everybody act way beat result major serve. Position make society behavior develop reality fill.,Negative,2,Claim
13,f96b648a-0ba6-4ab9-8639-447b2067bdac,b289f224-4ac9-478d-8da8-eee40df56ac6,"Bill activity expect long future whole education. Box assume man officer rather charge specific.
Yes budget share paper. Difficult mission late kind team wrong figure perform.",Negative,1,Claim
14,4ebfa5c3-cae9-44a7-aa79-ea680f44704f,91b78d8e-d301-4989-bfbb-b17f9854ce4e,"Buy read record wall matter management. Our threat same page.
Director purpose team onto.
Office several compare million kind.
Young job sport why. Girl four prove tax form really explain.",Negative,1,Policy Purchase
15,ed7bf656-218a-4536-8c99-a894445dcc38,b2c08394-e17f-49e1-b028-604649bc473f,Ahead picture son report. Nearly need behavior yeah tree. Water positive child usually factor relate indeed.,Negative,5,Policy Purchase
16,dd81b7f5-7d59-41c6-a8f1-e091ffb8102d,7bfdcc12-89e0-4ab3-b250-ee18260a5962,"Necessary myself lay focus country recently. Him task improve fish list tree high. Manager already maybe opportunity.
Between treat address century that wide. Light wide full realize.",Positive,4,Customer Support
